"ARC OF YESOD","VIDEOAVENTURA","11"
"GAME OVER","ARCADE","12"
"SCOOBY DOO","ARCADE","13"
"BOMB JACK II","ARCADE","13"
"ROAD RACE","ARCADE","13"
"ELECCIONES GENERALES","ESTRATEGIA","13"
"WHO DARES WINS II","ARCADE","13"
"TARZAN","VIDEOAVENTURA","13"
"THE SENTINEL","ARCADE","14"
"RESCUE ON FRACTALUS","ARCADE","14"
"BASKETBALL TWO ON TWO","S. DEPORTIVO","14"
"F-15 STRIKE EAGLE","ARCADE","14"
"SILENT SERVICE","SIMULADOR","14"
"HISOFT C","UTILIDAD","14"
"HISOFT PASCAL","UTILIDAD","14"
"RED ARROWS","SIMULADOR","14"
"FLAK","ARCADE","14"
"DEUS EX MACHINA","ARCADE","14"
"SLAP FIGHT","ARCADE","14"
"DOGFIGHT 2187","ARCADE","14"
"KRAKOUT","ARCADE","14"
"TEMPEST","ARCADE","15"
"CATCH 23","ARCADE","15"
"RED SCORPION","ARCADE","15"
"BALLBLAZER","ARCADE","15"
"ALIENS","ARCADE","15"
"MUTANTS","ARCADE","15"
"MILK RACE","ARCADE","13"
"AGENT ORANGE","ARCADE","13"
"FORMULA ONE SIMULATOR","ARCADE","13"
"BUBBLER","ARCADE","13-26"
"HOWARD THE DUCK","VIDEOAVENTURA","15"
"KAT TRAP","ARCADE","15"
"COLOSSUS 4 CHESS","JUEGO DE MESA","15"
"WONDERBOY","ARCADE","15"
"STORMBRINGER","VIDEOAVENTURA","15"
"FLASH GORDON","VIDEOAVENTURA","16"
"QUARTET","ARCADE","16"
"KINETIK","VIDEOAVENTURA","16"
"GREYFELL","VIDEOAVENTURA","16"
"STORM","ARCADE","16"
"EXOLON","ARCADE","16"
"ROAD RUNNER","ARCADE","16"
"PROHIBITION","ARCADE","16"
"MICRONAUT ONE","ARCADE","17"
"ZYNAPS","ARCADE","17"
"LEVIATHAN","ARCADE","17"
"DEATHWISH III","ARCADE","17"
"AIRWOLF II","ARCADE","17"
"THE LIVING DAYLIGHTS","ARCADE","17"
"STARFOX","ARCADE","17"
"SPECIAL DELIVERY","ARCADE","17"
"MERMAID MADNESS","VIDEOAVENTURA","17"
"UTHIMATA","ARCADE","17"
"10TH FRAME","ARCADE","17"
"BUMP SET SPIKE!","ARCADE","18"
"SPEED KING II","ARCADE","18"
"ROGUE TROOPER","ARCADE","18"
"SHOCKWAY RIDER","ARCADE","18"
"TERRA COGNITA","ARCADE","18"
"LEGIONS OF DEATH","ESTRATEGIA","18"
"MAILSTROM","VIDEOAVENTURA","18"
"ATLANTIC CHALLENGE","SIMULADOR","18"
"SUPERBOWL","S. DEPORTIVO","18"
"LEADER BOARD EXECUTIVE EDITION","S. DEPORTIVO","18"
"THE WAY OF THE TIGER","ARCADE","18"
"AMAUROTE","ARCADE","19"
"SUPERCYCLE","ARCADE","19"
"AJUSTADOR DE CABEZALES","UTILIDAD","9"
"CONTABILIDAD","UTILIDAD","10"
"ARTIST","UTILIDAD","11"
"SIEGE","ARCADE","12"
"LES FLICS","---","12"
"ASTROBLASTER","ARCADE","13"
"PARABOLA","VIDEOAVENTURA","13"
"SPEAKEASY","UTILIDAD","13"
"VOLCANIC PLANET","---","14"
"NIGHTFLITE II","SIMULADOR","14"
"LOADER","---","15"
"FANTOMAS","ARCADE","16"
"GALACTIC ABDUCTORS","ARCADE","16"
"MARIO BROS.","ARCADE","19"
"BMX SIMULATOR","ARCADE","19"
"DUET","ARCADE","19"
"LIGHTFORCE","ARCADE","19"
"NOSFERATU","VIDEOAVENTURA","19"
"CONVOY RIDER","ARCADE","19"
"INDIANA JONES","ARCADE","19"
"TERMINUS","ARCADE","20"
"ZUB","ARCADE","20"
"TUTE","JUEGO DE MESA","20"
"180 DARTS","S. DEPORTIVO","20"
"SOS","VIDEOAVENTURA","20"
"HYPERBOWL","ARCADE","20"
"ROOM 10","ARCADE","20"
"ELEVATOR ACTION","ARCADE","20"
"DONKEY KONG","ARCADE","20"
"VIDEO POKER","JUEGO DE MESA","20"
"STAGECOACH","ARCADE","20"
"TERROR OF THE DEEP","SIMULADOR","21"
"PULSATOR","ARCADE","21"
"INSPECTOR GADGET","ARCADE","21"
"FEUD","VIDEOAVENTURA","21"
"ZYTHUM","ARCADE","21"
"TITANIC","ESTRATEGIA","21"
"L'AFFAIRE VERACRUZ","CONVERSACIONAL","21"
"ORBIX - THE TERRORBALL","ARCADE","21"
"DRUID","ARCADE","21"
"TANTALUS","ARCADE","21"
"TIME FLIGHT","ARCADE","21"
"PUB GAMES","ARCADE","22"
"LAST MISSION","ARCADE","22"
"SIDEWIZE","ARCADE","22"
"DISCO DAN","ARCADE","22"
"TUJAD","ARCADE","22"
"BOULDER DASH III","ARCADE","22"
"MONOPOLY","JUEGO DE MESA","22"
"TOMMY","VIDEOAVENTURA","22"
